subject,sessionIndex,rep,password,H,DD,UD
s017,1,1,.tie5Roanl,"[67, 48, 52, 52, 62, 52, 76, 60, 64, 57, 62]","[204, 94, 105, 344, 405, 176, 194, 100, 208, 421]","[136, 45, 53, 291, 343, 123, 117, 39, 143, 363]"
s018,1,1,.tie5Roanl,"[101, 84, 68, 53, 69, 96, 107, 132, 92, 96, 88]","[174, 136, 132, 1232, 401, 695, 550, 368, 135, 444]","[72, 51, 63, 1179, 332, 598, 442, 236, 43, 348]"
s019,1,1,.tie5Roanl,"[67, 126, 68, 129, 87, 139, 65, 148, 113, 86, 138]","[480, 506, 318, 546, 1601, 430, 639, 383, 410, 899]","[412, 380, 249, 417, 1513, 291, 574, 235, 296, 812]"
s020,1,1,.tie5Roanl,"[114, 68, 145, 75, 69, 119, 138, 153, 118, 103, 97]","[182, 99, 166, 879, 991, 301, 133, 1750, 489, 1400]","[67, 30, 20, 803, 921, 181, -4, 1596, 371, 1297]"
s021,1,1,.tie5Roanl,"[98, 57, 89, 92, 93, 76, 99, 63, 59, 79, 65]","[470, 593, 842, 316, 935, 496, 611, 198, 248, 589]","[372, 535, 752, 223, 842, 420, 512, 134, 189, 510]"
s022,1,1,.tie5Roanl,"[62, 64, 64, 98, 65, 67, 57, 65, 60, 60, 89]","[676, 253, 925, 2110, 1191, 900, 298, 875, 831, 1038]","[613, 189, 861, 2012, 1125, 832, 241, 810, 770, 977]"
s024,1,1,.tie5Roanl,"[97, 54, 49, 72, 57, 66, 59, 83, 65, 79, 94]","[307, 158, 158, 841, 932, 328, 174, 137, 223, 509]","[210, 103, 109, 768, 874, 262, 114, 54, 158, 430]"
s025,1,1,.tie5Roanl,"[122, 63, 80, 88, 67, 72, 87, 78, 70, 77, 78]","[309, 102, 137, 1096, 1065, 411, 149, 290, 280, 885]","[186, 39, 57, 1008, 997, 338, 61, 212, 210, 808]"
s026,1,1,.tie5Roanl,"[77, 75, 115, 84, 51, 63, 84, 75, 58, 99, 94]","[310, 161, 234, 403, 431, 317, 224, 139, 211, 290]","[232, 86, 118, 319, 380, 253, 140, 63, 152, 191]"
s027,1,1,.tie5Roanl,"[154, 68, 159, 118, 88, 118, 108, 117, 98, 134, 95]","[667, 775, 72, 1142, 899, 298, 97, 337, 168, 383]","[512, 706, -86, 1023, 811, 180, -10, 220, 70, 249]"
s028,1,1,.tie5Roanl,"[50, 58, 73, 62, 51, 82, 68, 59, 56, 65, 55]","[230, 113, 93, 637, 606, 358, 604, 223, 212, 215]","[180, 54, 19, 575, 554, 275, 535, 163, 156, 150]"
s029,1,1,.tie5Roanl,"[93, 54, 57, 60, 63, 77, 87, 74, 53, 72, 49]","[191, 117, 100, 687, 568, 227, 167, 125, 247, 218]","[97, 63, 43, 626, 505, 150, 79, 50, 194, 146]"
s030,1,1,.tie5Roanl,"[110, 94, 63, 122, 66, 82, 122, 84, 83, 81, 73]","[3816, 4010, 694, 1264, 619, 313, 187, 213, 238, 888]","[3705, 3916, 631, 1141, 553, 231, 64, 128, 154, 806]"
s031,1,1,.tie5Roanl,"[110, 64, 68, 59, 51, 68, 85, 104, 107, 93, 80]","[382, 148, 113, 842, 659, 334, 167, 129, 328, 737]","[271, 83, 44, 782, 608, 266, 81, 25, 220, 644]"
s032,1,1,.tie5Roanl,"[85, 116, 85, 122, 103, 98, 69, 81, 57, 73, 118]","[295, 215, 498, 350, 1188, 257, 88, 205, 181, 1644]","[210, 98, 412, 227, 1084, 159, 19, 124, 124, 1571]"
s033,1,1,.tie5Roanl,"[71, 138, 206, 204, 118, 55, 145, 213, 145, 190, 133]","[1586, 246, 296, 888, 1190, 583, 320, 392, 439, 534]","[1515, 107, 89, 683, 1072, 528, 174, 178, 293, 344]"
s034,1,1,.tie5Roanl,"[57, 69, 66, 68, 82, 102, 65, 83, 115, 67, 42]","[150, 85, 134, 872, 581, 214, 117, 116, 320, 992]","[93, 16, 67, 804, 499, 111, 52, 33, 205, 924]"
s035,1,1,.tie5Roanl,"[59, 78, 53, 60, 82, 91, 48, 88, 56, 56, 84]","[336, 89, 312, 1271, 1065, 1312, 592, 840, 256, 444]","[276, 11, 259, 1210, 983, 1221, 543, 751, 200, 387]"
s036,1,1,.tie5Roanl,"[53, 48, 51, 72, 67, 54, 43, 57, 37, 52, 47]","[856, 569, 711, 2207, 1926, 1798, 183, 528, 706, 2245]","[803, 520, 659, 2134, 1858, 1744, 140, 470, 669, 2193]"
s037,1,1,.tie5Roanl,"[120, 75, 50, 52, 61, 101, 137, 108, 86, 119, 80]","[826, 103, 201, 662, 669, 555, 180, 138, 312, 311]","[706, 28, 150, 609, 608, 454, 43, 30, 226, 191]"
s038,1,1,.tie5Roanl,"[70, 59, 55, 59, 53, 79, 79, 107, 60, 84, 62]","[393, 106, 152, 498, 2669, 454, 370, 159, 180, 403]","[323, 46, 96, 439, 2616, 374, 290, 52, 120, 318]"
s039,1,1,.tie5Roanl,"[69, 68, 77, 94, 69, 155, 71, 81, 81, 76, 91]","[461, 243, 281, 1142, 603, 970, 197, 176, 343, 607]","[391, 175, 204, 1048, 533, 815, 126, 95, 262, 530]"
s040,1,1,.tie5Roanl,"[97, 126, 105, 114, 68, 87, 140, 69, 79, 89, 147]","[560, 144, 125, 1919, 683, 323, 572, 37, 571, 2073]","[463, 18, 19, 1805, 614, 236, 432, -31, 492, 1984]"
s041,1,1,.tie5Roanl,"[191, 43, 73, 121, 106, 149, 114, 189, 107, 108, 103]","[533, 657, 254, 792, 560, 414, 472, 345, 227, 311]","[341, 614, 180, 671, 453, 264, 358, 156, 120, 202]"
s042,1,1,.tie5Roanl,"[100, 63, 47, 60, 54, 69, 57, 56, 77, 75, 42]","[267, 162, 169, 854, 743, 780, 118, 145, 283, 396]","[166, 98, 122, 794, 688, 711, 61, 89, 205, 320]"
s043,1,1,.tie5Roanl,"[74, 91, 56, 72, 54, 55, 81, 88, 61, 45, 58]","[821, 1326, 130, 1298, 710, 1570, 146, 358, 341, 1603]","[746, 1235, 73, 1226, 656, 1515, 65, 269, 280, 1557]"
s044,1,1,.tie5Roanl,"[48, 54, 45, 49, 53, 59, 71, 50, 42, 58, 58]","[282, 764, 206, 1219, 1216, 1647, 173, 160, 537, 1581]","[233, 709, 161, 1170, 1163, 1588, 102, 109, 494, 1523]"
s046,1,1,.tie5Roanl,"[64, 93, 63, 72, 93, 78, 58, 63, 88, 69, 69]","[920, 338, 834, 389, 1235, 353, 142, 129, 328, 789]","[855, 245, 770, 317, 1142, 275, 84, 65, 239, 720]"
s047,1,1,.tie5Roanl,"[105, 101, 57, 105, 68, 95, 93, 93, 66, 100, 113]","[708, 617, 239, 1387, 785, 701, 152, 811, 2493, 5302]","[603, 515, 181, 1281, 716, 605, 58, 717, 2426, 5202]"
s048,1,1,.tie5Roanl,"[88, 124, 67, 81, 72, 85, 83, 105, 88, 91, 79]","[372, 114, 114, 804, 653, 206, 96, 147, 202, 526]","[284, -9, 46, 723, 580, 121, 12, 41, 113, 435]"
s049,1,1,.tie5Roanl,"[95, 132, 98, 166, 144, 88, 86, 151, 103, 81, 95]","[1258, 603, 682, 1515, 1934, 1917, 802, 808, 1951, 2488]","[1162, 471, 584, 1348, 1790, 1829, 716, 656, 1848, 2406]"
s050,1,1,.tie5Roanl,"[87, 67, 67, 72, 78, 101, 96, 86, 11, 100, 83]","[240, 179, 260, 647, 1137, 992, 173, 290, 235, 284]","[152, 112, 192, 574, 1058, 891, 77, 204, 224, 184]"
s051,1,1,.tie5Roanl,"[180, 65, 63, 70, 80, 73, 62, 73, 72, 93, 76]","[304, 121, 122, 611, 367, 185, 107, 148, 115, 551]","[124, 55, 59, 541, 287, 112, 45, 74, 43, 458]"
s052,1,1,.tie5Roanl,"[55, 99, 106, 80, 76, 77, 80, 77, 88, 96, 100]","[697, 78, 128, 1250, 540, 539, 449, 553, 300, 919]","[642, -20, 22, 1169, 463, 461, 369, 476, 212, 822]"
s053,1,1,.tie5Roanl,"[128, 61, 103, 80, 64, 62, 95, 138, 117, 95, 131]","[300, 79, 98, 847, 522, 512, 164, 116, 158, 376]","[172, 17, -4, 767, 457, 450, 69, -21, 41, 280]"
s054,1,1,.tie5Roanl,"[90, 78, 87, 41, 74, 38, 101, 73, 112, 100, 163]","[472, 256, 245, 1081, 814, 715, 202, 692, 356, 284]","[382, 177, 158, 1040, 740, 677, 100, 619, 244, 183]"
s055,1,1,.tie5Roanl,"[85, 89, 65, 70, 88, 117, 78, 131, 60, 74, 72]","[159, 109, 100, 299, 293, 235, 90, 223, 173, 245]","[74, 19, 34, 228, 205, 117, 12, 91, 112, 170]"
s056,1,1,.tie5Roanl,"[138, 79, 90, 95, 114, 111, 129, 119, 93, 75, 90]","[227, 125, 74, 506, 384, 211, 385, 167, 194, 248]","[88, 45, -16, 411, 270, 100, 255, 48, 101, 172]"
s057,1,1,.tie5Roanl,"[87, 64, 107, 51, 81, 68, 78, 86, 33, 90, 111]","[258, 60, 104, 211, 369, 137, 79, 326, 318, 228]","[171, -4, -2, 160, 288, 68, 1, 240, 285, 138]"
